Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
029-555555109,488,29,Department of Veterans Affairs,Medical 21st Century Registries,2246,1101130612,EVH National Registry - Web Based Management Models,"This is to support development of a Housing and Urban Development-Department of Veterans Affairs Supported Housing (HUD-VASH) Toolkit. This is also to support other Homeless Programs requirements to establish toolkits, such as the Supportive Services for Veteran Families Program. A Homeless Toolkit would facilitate the transition to permanent supported housing and use of best practices by providing access to both general and program-specific information to providers and eventually to Veterans. Currently, the system used to process the payments from the VAMCs (VA Medical Centers) to the agencies does not capture the necessary information to meet these requirements.",07/03/2011,30/09/2013,,,4.954,-135,-34.26,0,0,0.7,0.7,28/02/2012,14:14:27,1101130612
029-555555109,488,29,Department of Veterans Affairs,Medical 21st Century Registries,2247,1102180603,Embedded Fragment Registry,"This project will provide annual IT maintenance and sustainment support for the Embedded Fragment Registry to maintain functionality and operation. This includes support of the registry database, user interface, application testing, reporting and VistA components (clinical reminders). This registry is required by the Presidential Task Force on Returning Global War on Terror Heroes (GWOT recommendation P -7) in support of the VA Toxic Embedded Fragment Surveillance Center (TEFSC). This registry ensures OEF/OIF veterans are screened for embedded fragments and receive follow up care and long term surveillance.",01/04/2008,30/09/2015,29/06/2012,31/07/2012,4.983,-63,-17.45,0,0,0.832,0.832,21/06/2012,10:40:05,1102180603
029-555555109,488,29,Department of Veterans Affairs,Medical 21st Century Registries,2249,1109130720,EVH National Homeless Registry - EVH Analytical Tool,"The EVH (Eliminate Veterans Homelessness) Analytical Tool is to assist in determining the size of various homelessness programs based on various measures such as unemployment, economic dislocation, deployment, etc .With the overall objective of ending Veterans homelessness, a tool like the EVH Analytical Tool is necessary to be proactive in determining the size of programs and thus able to address the needs of the homeless Veteran. OIT deliverable are servers to support this tool.",03/10/2011,27/04/2012,31/10/2011,31/10/2011,0.325,0,0,0,0,0.018,0.018,21/05/2012,14:08:42,1109130720
029-555555109,488,29,Department of Veterans Affairs,Medical 21st Century Registries,2840,1010190604,Breast Cancer Clinical Case Registry,"This project willdevelop a breast cancer clinical case registry in order to monitor and track breast cancer and diagnostic test result, facilitate coordination of care, and improve management and timeliness to treatment for the Office of Public Health and Environmental Hazards and the Women Veterans Health Strategic Health Care Group .Currently there is no system in place inthe Computerized Patient Record System (CPRS) that has the capacity to identify, monitor and track all women with normal or abnormal mammogram results and assess sequential milestones in the diagnostic work up and treatment.",21/03/2011,30/09/2013,01/06/2012,01/06/2012,2.9,-91,-20.78,0,0,0.094232,0.094232,21/05/2012,14:08:42,1010190604
029-555555189,489,29,Department of Veterans Affairs,Medical 21st Century Revenue Improvement and Systems Enhancements - 2012 (RISE),2319,1109150815,RISE - National Insurance File (NIF)," Acquisition and implementation of a National Insurance File (NIF) database and data management tools that communicates patient insurance data between VistA applications, client systems, databases and the future patient accounting system.",03/01/2012,31/12/2014,,,14,0,0,0,0,2.182,2.182,17/04/2012,11:53:20,1109150815
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2253,1002180606,VA DoD Image and Scanned Document Sharing Phase I,"The VA/DoD Image and Scanned Document Sharing project provides development and support for the VA/DoD sharing initiatives associated with the Wounded Warrior Initiative. The goal of the project is to support continuity of patient care between the Departments. VA and DoD Projects provide the electronic bidirectional sharing of health information in real-time for shared patients between the Departments. The development work includes a standards-based automated process to make images and studies from DoD, patient-provided CDs, fee-basis providers and other outside sources available to VA providers (Importer Prototype). It will also provide an enterprise gateway for exchanging VistA Imaging, DoD images and NCAT reports, including radiology studies, document artifacts and documents containing embedded images Bi-directionally between the VA and the DoD.The goal of the VA/DoD Project is to support continuity of patient care between the Departments. VA and DoD will continue the electronic bidirectional sharing of health information in real-time for shared patients between the Departments.",15/09/2008,13/09/2013,,,12.081107,0,0,0,0,4.958169,4.958169,21/06/2012,10:40:19,1002180606
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2254,1003110605,Mental Health Enhancements - Outcomes Monitoring,"The project seeks to improve the delivery of care for Veterans who are mental health patients. It includes enhancement of exisitng and development of new assessment instruments used for the overall assessment, data collection and development of appropriate treatmenttools.",01/06/2010,30/09/2013,30/09/2012,26/10/2012,8.024191,-26,-6.55,-0.008786,-0.46,1.902214,1.911,21/05/2012,14:08:43,1003110605
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2255,1003120603,Bar Code Medication Administration (BCMA) -  SFG IRA,"The project is based upon the findings published by the Bar Code Medication Administration (BCMA) Special Focus Report. The product will enhance the accurate administration of medications, thereby enhancing patient safety.",01/05/2006,30/09/2014,,,9.098994,0,0,0.234686,7.5,3.129,2.894314,21/06/2012,10:40:19,1003120603
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2256,1003120604,Pharmacy Legacy Enhancements,"User Workgroup and Business Office meetings identify numerous patient safety enhancements that will improve business process, patient care, and resource utilization as well as reduce spending and/or increase revenue generation. This project facilitates rapid response to these enhancement requests.",16/11/2010,30/09/2014,04/06/2012,04/06/2012,8.389892,-88,-21.46,0.049128,7.65,0.641874,0.592746,17/04/2012,11:53:19,1003120604
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2257,1003120606,National Utilization Management Integration (NUMI),"National Utilization Management Integration (NUMI) integrates patient specific data from theVeterans Health Information Systems and Technology Architecture (VISTA)with a Commercial off the Shelf (COTS)application. The Commercial off the Shelf (COTS)application uses accepted national health care criteria for Utilization Management (UM), allows users to: collect and analyze utilization data, catalog reasons for inappropriate resource usage, identify alternate level or plans of care and product facility, VISN (Veterans Integrated Service Network) , and national reports.",01/10/2007,30/09/2016,07/11/2012,07/11/2012,38.69,0,0,1.405436,49.12,2.86147,1.456034,21/06/2012,10:40:19,1003120606
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2258,1003120611,FDA Medication Guides Update,"The FDA Medication Guides will provide an enhancement to the National Drug File which would allow automatic distribution of FDA Medication Guides in addition to VA provided Patient Medication Information Sheets when specially listed drugs are dispensed at the time of new and renewed prescriptions for patients, whether they are Outpatients, Inpatients, or patients using the CMOP. The distribution of these guides is required by the FDA for prescription drugs that pose a serious and significant public health concern. The guides are written by the drug manufacturers and the content is regulated by the FDA.",01/10/2009,13/04/2012,24/01/2012,13/01/2012,1.321277,11,6.04,0,0,0.148103,0.148103,28/02/2012,14:14:29,1003120611
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2259,1003150604,Annual Surgery Updates (ASU),"The Surgery package is designed to be used by Surgeons, Surgical Residents, Anesthetists, Operating Room Nurses and other surgical staff. The Surgery package is part of the patient information system that stores data on the Department of Veterans Affairs (VA) patients who have, or are about to undergo, surgical procedures. This package integrates booking, clinical, and patient data to provide a variety of administrative and clinical reports. This development effortincludes enhancements to the legacy Veterans Health Information Systems and Technology Architecture (VistA) Surgery software funded in FY09 through FY16. This includes enhancements in support of National Surgical Quality Improvement Program (NSQIP), Continuous Improvement In Cardiac Surgery Program (CICSP), Transplant Assessments, and Surgery Oversight.",01/10/2009,20/04/2012,27/01/2012,27/01/2012,5.6,0,0,-0.067989,-30.28,0.224559,0.292548,19/03/2012,08:42:09,1003150604
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2260,1003170603,Lab Data Sharing and Interoperability (LDSI),"LDSI upgrades the Laboratory Electronic Data Interchange (LEDI) III application to LEDI IV and provides bi-directional electronic sharing of lab data between VAand Commercial Reference Labs, Department of Defense (DoD), and the Laboratory System Reengineering Project (LSRP) Laboratory Information Management System (LIMS). Functionality is delivered in four patches: LA*5.2*74 and LR*5.2*350 (LEDI IV); LA*5.2*77 and LR*5.2*400 (LOINC).",01/07/2009,30/09/2015,28/09/2012,28/09/2012,2.368,0,0,0,0,0.748,0.748,21/05/2012,14:08:43,1003170603
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2261,1003190603,Fee Data and HERO,"This patch enhances Fee Basis to capture additional data associated with Non-VA care. Contracts can be specified for Medical Fee and Civil Hospital authorizations and payments. Civil hospital invoices will allow entry of larger dollar amounts, additional diagnosis codes, present on admission indicators, the admitting diagnosis code, and additional procedure codes. The existing transmissions to NVH Pricer and Central Feewill be modified to include additional data elements. The transmission of these additional data elements will make it possible to comply with inpatient pricing requirements and improve the ability of the VA to review and report on purchased care.",01/07/2010,18/06/2012,30/03/2012,30/03/2012,0.79091,0,0,0,0,0.395455,0.395455,17/04/2012,11:53:19,1003190603
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2262,1003210604,Identification of Principal Mental Health Provider,"Allow display of Principal Mental Health Provider in Computerized Patient Record System (CPRS). In support of VHA Handbook 1160.01, a need has been identified to coordinate care for veterans with mental health concerns, between their mental health and primary care providers. By readily identifying veterans principal MH provider in corresponding medical record, coordination of entire scope of care is facilitated. Rapid identification of all care providers enables critical coordination of care for veterans with mental health crisis conditions such as those with positive screens for Suicidal ideation, Post-Traumatic Stress Disorders, or depression.",10/05/2010,28/09/2012,30/07/2012,30/07/2012,2.325672,-32,-7.79,-0.018189,-1.65,1.105129,1.123318,21/06/2012,10:40:19,1003210604
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2263,1003210610,Absent Sick in Hospital (ASIH) Bed Hold,"This requestis to align Veterans Health Administration Community Living Centers (CLC) practice, with the State Veterans Home, and Community practice as guided by Medicare, by changingall software andassociated reports, from Absent Sick in Hospital (ASIH) to Bed Holdand for 7 Days rather than 30. ASIH now being called Bed Hold;30 day hold is being shortened to 7 days, and beds will be held only forthose patients who have been in the CLC > 90 days.",03/01/2011,30/04/2012,30/04/2012,30/04/2012,33.91,0,0,0,0,2.889,2.889,21/05/2012,14:08:43,1003210610
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2264,1003220604,Reasonable Charges Billing Enhancements - Annual Updates,This enhancement is a redesign and/or modification of the current structure of VistAs Integrated Billing (IB) software system. This enhancement includes changes described in two separate business requirements documents (BRDs) one from FY2009 and one from FY2010. The FY 2009 BRD identifies four specific requirements. The first requirement eliminates the billers from moving from one application screen to another to mark a non-billable encounter in Claims Tracking (CT) by allowing billers the ability to enter/edit the encounters Reason Not Billable (RNB) when editing a bill. The second requirement provides an application to accommodate the use of six digit facility station numbers with appropriate charges. The third requirement provides the capability to manually update appropriate facility designations prior to a new patch being released. The fourth requirement provides the capability to add RNBs to the national RNB list in the IB package.,01/07/2010,05/10/2012,07/08/2012,07/08/2012,1.385716,-24,-3.13,0,0,1.306335,1.306335,21/05/2012,14:08:43,1003220604
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2265,1003220613,VistA Fee HIPAA 5010 Implementation Discovery and Requirements,Process compliant Fee Basis Version 5010 EDI transactions from within the VistA Fee Basis software package on/after 1/11/12. Continue to process compliant Fee Basis Version 4010/4010A1 EDI transactions as needed within the VistA Fee Basis software package on/prior to 12/31/11. Capture/transmit critical claim data from VistA Fee Basis to Integrated Billing.,01/07/2010,26/12/2012,02/10/2012,02/10/2012,10.697534,0,0,0,0,2.801735,2.801735,17/04/2012,11:53:19,1003220613
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2266,1003220614,Medicare Claims Pricing Schedules,"At times, VA cannot provide all of the necessary medical care and services required by its patients, in house. In these cases, the VA may authorize medical care at private sector facilities for those Veterans who meet the eligibility requirements. This concept is referred to as Fee Basis care.In 2008, VA established a policy to implement use of Medicare fee schedules to pay for laboratory services and End Stage Renal Disease (ESRD) purchased from non-VA health care facilities in the absence of a contract or negotiated agreement. This policy is effective for services furnished on and after January 1, 2009.Currently, VA has systems access to two of Medicares various fee schedules. This enhancement provides for enterprise wide application of an additional eleven Medicare fee schedules.",01/07/2010,30/07/2012,30/09/2011,31/12/2012,0.888648,-458,-100.44,0,0,0.355459,0.355459,21/05/2012,14:08:43,1003220614
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2267,1003220617,PAID Enhancements for VANOD,"PAID Enhancements for VANOD provides updates to the existing VistA Personnel and Accounting Integrated Data system (PAID) Electronic Time & Attendance (ETA) system software to identify overtime hours and work locations for Registered Nurses (RNs), Licensed Practical Nurses (LPNs), Nursing Assistants (NAs), and Health Technicians. ETA shall be modified to allow timekeepers to indicate location, type of worked time, mandatory versus voluntary overtime, and reasons for overtime on the applicable employees time card. The time card outputs will be modified to show this new data. The transmission to Austin PAID shall be modified to include a count of each employee's mandatory overtime hours during each pay period. ETA shall also be modified to accept additional mandatory nursing overtime data with the payrun results that are transmitted by Austin PAID to ETA. ETA overtime reports shall be modified to reflect the new payrun data for mandatory hours. The PEV system shall provide the ability for the VANOD database to extract data from each instance of VistA ETA through new and established Kernel Broker remote procedure calls (RPCs). It is understood that VANOD currently has the ability to establish connections to each instance of VistA through established RPCs. The PEV software shall provide the RPC Broker connection between PEV system and VANOD and the ability for VANOD to extract data from two files - Nurse Staffing Location file and Nurse POC Extraction file.",01/07/2010,02/05/2012,09/03/2012,09/03/2012,0.797936,0,0,0,0,0.383968,0.383968,17/04/2012,11:53:19,1003220617
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2268,1003220618,Electronic Insurance Identification,"VA OI&T is implementing Operation RESCUE (Remote Enterprise Security Compliance Update Environment), which restricts the download of VA data to 'Non-VA Other Owned Equipment' (OE). The planned implementation of RESCUE will hamper collection of essential third party insurance information. This situation results in contractual and revenue collection issues. In order to mitigate the risks associated with RESCUE, this enhancement will automate the VistA extract and insurance information exchange.",01/07/2010,25/05/2012,12/03/2012,12/03/2012,1.235454,0,0,0,0,0.617727,0.617727,17/04/2012,11:53:19,1003220618
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2269,1003230606,High Risk Mental Health Patient - National Reminder and Flag, This project is to ensure that the Mental Health Suicide Risk progress note template is available to assist clinicians in identifying patients who have attempted suicide of who have serious suicidal ideation.To alert clinicians system-wide of this patients suicide risk and to alert clinicians when the patient misses a mental health/ substance abuse clinic appointment.The project is to ensure clinicians promptly follow-up on all at-risk patients who miss clinic visits.,19/04/2010,27/07/2012,12/06/2012,12/06/2012,1.642335,-80,-32.65,-0.004283,-3.72,0.115206,0.119489,21/06/2012,10:40:19,1003230606
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2270,1003250606,ePharmacy Phase 5,Upgrade NCPDP Transactions to D.0 with backwards compatibility to version 5.1 Transmit NCPDP Eligibility Verification Inquiry Expanded TRICARE pharmacy billing.,01/04/2010,18/11/2011,01/11/2011,25/10/2011,11.42826,7,1.54,0,0,4.466133,4.466133,30/11/2011,19:50:19,1003250606
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2271,1003260608,eClaims Iteration 4,Utilize the data in the HIPAA 5010 claims transactions to update and automate VistA IB and AR functionality. Accommodate HIPAA 5010 data requirements.,01/04/2010,18/11/2011,01/11/2011,25/10/2011,10.249257,7,1.54,0,0,4.033832,4.033832,30/11/2011,19:50:19,1003260608
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2272,1003260609,ePharmacy Claims - Phase 6,Provide alert to pharmacist to capture Patients Electronic Signature for prescription window pick-up Implement Electronic Transmissions of ChampVA Pharmacy Claims Implement detail enhancements to address gaps and inefficiencies in the current software to ensure that ePharmacy supports pharmacy business processes and VistA.,01/12/2010,30/03/2012,03/02/2012,27/01/2012,7.717521,7,4.73,0,0,2.829758,2.829758,28/02/2012,14:14:29,1003260609
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2273,1003260612,eClaims Iteration 5,Process the Medicare Unsolicited Response.,01/12/2010,23/03/2012,31/01/2012,31/01/2012,4.010356,0,0,0,0,1.470464,1.470464,28/02/2012,14:14:29,1003260612
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2274,1003260617,ePayments Enhancements - Annual Updates,Processes required to make HIPAA 5010 industry standard requirements operational with VA business processes.,01/12/2010,30/01/2012,05/12/2011,01/12/2011,3.205615,4,2.4,0,0,1.175392,1.175392,20/12/2011,07:09:18,1003260617
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2275,1003260621,ePayments FY 2010,"Upgrade X12 835 transactions to 5010 version by: adding new fields as required by version 5010; deleting and modifying fields as required by version 5010; modifying any data dictionaries, files, screens to accommodate any new required 5010 field parameter; modifying software to allow for payer specific backward compatibility processing of 4010 835 transactions.",01/04/2010,01/11/2011,01/11/2011,06/10/2011,8.851137,26,5.74,0,0,3.521188,3.521188,04/11/2011,12:26:58,1003260621
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2276,1003290603,Vista Imaging Storage Management Enhancements Phase 1,"FY12 work will support Initiative #7 New Models of Healthcare Store & Forward Telemedicine program includes enhancing existing storage management within VistA Imaging to support the needs for tele-pathology, home wound care and other clinical domainsThe enhancements will properly store, monitor and manage the acquired Store and Forward Telemedicine images and insure they are available for remote VistA Imaging systems. In addition support will be provided for external storage related projects such as the Laboratory System Reengineering Project.",15/09/2008,13/09/2013,01/06/2012,01/06/2012,3.065255,0,0,0,0,0.686028,0.686028,21/06/2012,10:40:19,1003290603
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2277,1003290609,VistA Imaging Core DICOM Services Phase 1,"Provide enhancementsfor Digital Imaging and Communications in Medicine (DICOM) services needed to acquire and properly store DICOM formatted images. This project also provides contract services to validate interfaces DICOM between VistA Imaging and commercial modalities and commercial Picture Archiving and Communication (cPACS) systems, and the proper access of DICOM images via DICOM services (e.g., Send and Query/Retrieve). Also provide enhancements and maintenance for Health Level 7 (HL7) messaging for cPACS and commercial medical imaging ancillary devices. All work shall, where feasible, align the VA with the technical frameworks created by the Integrating the Healthcare Enterprise (IHE) organization.",15/09/2008,13/09/2013,01/06/2012,01/06/2012,12.826246,0,0,0,0,2.399168,2.399168,21/06/2012,10:40:19,1003290609
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2278,1003290610,Document and Ancillary Imaging,"The Document and Ancillary Imaging Project providessoftware enhancements to VistA Imaging Clinical Capture, Clinical Display, and Import API. The project also provides support for external projects such as Surgery Consent Forms. Within Document and Ancillary Imaging are two applications, the Clinical Display and Clinical CaptureThe Clinical Display application handles high quality image data from many specialties, including cardiology, pulmonary and gastrointestinal medicine, pathology, radiology, surgery, dermatology, ophthalmology, hematology, radiotherapy, nuclear medicine, and others.Clinical Capture application is used to add new images to patients online records. This application can be interfaced with devices such as digital cameras, document scanners, endoscopes, ultrasound scanners, video cameras (including those connected to microscopes or ophthalmoscopes) and x-ray film digitizers.",15/09/2008,13/09/2013,,,8.158082,0,0,0,0,4.148072,4.148072,21/06/2012,10:40:19,1003290610
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2279,1010070604,Behavioral Health Lab Software,This project will take the efforts of the Innovations -Behavioral Health Lab COTS software - and interface it with the CPRS/VistA health record.,04/04/2011,30/09/2013,30/03/2012,01/06/2012,2.901443,-154,-42.66,-0.02,-4.98,0.401758,0.421758,21/05/2012,14:08:43,1010070604
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2280,1010220603,The Genomic Informatics System for Integrative Science (GenISIS),"The GenISIS provides a central infrastructure to support the multiple VA genomic medicine studies which are advancing the goal for personalized medicine within the VA healthcare system. GenISIS supports managing clinical study data, consent, sample tracking, and genomic data sets. The tools can be used for research initiatives to establish processes and expertise around genomic medicine and will provide capabilities that can be built upon as a foundation to move towards making genetic tools available at the clinical bedside for Veterans.",01/06/2010,11/02/2013,,,23.558073,0,0,0,0,9.187418,9.187418,20/12/2011,07:09:18,1010220603
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2281,1101070604,ICD-10 Changes for Class 1 Financial Products,"Remediation of applications to convert to the CMS-mandated code sets, ICD-10-CM and ICD-10-PCS, by the 10/1/2013 federally mandated compliance deadline.",03/01/2011,31/10/2013,,,18.328371,-49,-11.37,0,0,6.723726,6.723726,21/06/2012,10:40:19,1101070604
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2282,1101070605,ICD-10 Class 3 Field Level Assessment,"Remediation of applications to convert to the CMS-mandated code sets, ICD-10-CM and ICD-10-PCS, by the 10/1/2013 federally mandated compliance deadline.",03/01/2011,16/12/2013,02/03/2012,02/03/2012,11.991541,0,0,0,0,4.996476,4.996476,21/06/2012,10:40:19,1101070605
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2283,1101070607,ICD-10 Conversion of Class 1 Clinical Remaining Products,"Remediation of applications for successful convertion to the CMS-mandated code sets: ICD-10-CM and ICD-10-PCS, by the 10/1/2013 federally mandated compliance deadline.",03/01/2011,31/10/2013,23/10/2012,23/10/2012,23.707349,0,0,0,0,8.964968,8.964968,21/06/2012,10:40:19,1101070607
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2284,1101070609,"ICD-10 Changes for Lexicon, Encounter Forms, and Clinical Reminders","Remediation of applications to convert to the CMS-mandated code sets, ICD-10-CM and ICD-10-PCS, by the 10/1/2013 federally mandated compliance deadline.",03/01/2011,31/10/2013,30/07/2012,30/07/2012,23.707349,-32,-10.63,0,0,4.482484,4.482484,17/04/2012,11:53:19,1101070609
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2285,1101130603,Bed Management Solution (BMS) Version 1,"The Bed Management Solution (BMS) provides a graphical user interface (GUI) for Veterans Health Information Systems and Technology Architecture (VISTA) bed and patient movement information as well as augmenting information that is not available in Veterans Health Information Systems and Technology Architecture (VISTA). The application provides a real-time, user-friendly web-based VistA interface for tracking patient movement and determining bed availability. BMS feeds all bed status information into VISTA via a unidirectional feed from VISTA (not bi-directional feeding information back into VISTA.",01/12/2010,29/03/2013,,,68.69,-90,-24.93,2.549625,16.25,15.687444,13.137819,21/06/2012,10:40:19,1101130603
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2286,1101130604,EVH Handheld Devices for Homeless Program,"This project is complimentary to the Homeless Operations, Management and Evaluation System (HOMES) - the case management system for the VHA Homeless Program Office. It aims to provide case managers mobile access to HOMES, CPRS and VistA in order to support Veteran outreach personnel in (1) capturing information about Veterans who are homeless, (2) transmitting the data to and from the HOMES database in real time (when possible) and (3) providing for real time sharing of Veteran data between handheld devices used in the field and HOMES, CPRS and VistA.",01/12/2010,07/12/2012,02/03/2012,02/03/2012,19.619,-182,-62.54,0.853622,53.02,1.61,0.756378,28/02/2012,14:14:30,1101130604
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2287,1101130608,VHA Point Service (Kiosks),"Kiosks have been piloted and used to provide efficient service for veterans to perform various tasks independently. Veterans Health Administration (VHA) executive leadership has determined that it will be necessary to establish a set of standardized, representative requirements to govern the selection and implementation of both kiosk platforms and the applications to be accessed on those platforms.",01/10/2010,30/12/2014,,,24.959,0,0,-0.514626,-9.77,5.27,5.784626,21/05/2012,14:08:43,1101130608
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2288,1101130613,Intensive Care Unit and Anesthesia Record Keeper (ICU ARK) Analytics System,"An Intensive Care Unit/Anesthesia Record Keeper (ICU/ARK) Analytics System is a medical information system that supports and records care delivery in critical care settings. It is comprised of an Intensive Care Unit (ICU) Clinical Information System (CIS), Anesthesia Record Keeper (ARK), VistA Interface Utility, Medical Analytics, a Communications Layer, and an Interface for Critical Care Data. For VA Office of Information and Technology (OIT), the ICU/ARK Analytics project scope will focus on providing a standard methodology for integrating the Interface solution across all VISNs at a national level to ensure that the ICU/ARK Analytics System is fully functioning across all VISNs.",10/12/2010,29/03/2013,,,45.475,0,0,-3.68759,-234.41,1.57313,5.26072,17/04/2012,11:53:19,1101130613
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2289,1101130615,CPRS Version 29,"Computerized Patient Record System (CPRS) version 29 will make modifications to support the following customer requests:-Drug Enforcement Agency (DEA) Electronic prescribing of controlled substances using Public Key Infrastructure (PKI) This project will modify and/or enhance CPRS, Pharmacy and Kernel to meet the requirements proposed by the DEA for electronic prescribing of controlled substances.-Problem List Systematized Nomenclature of Medicine Clinical Terms (SNOMED CT) changes This project will modify the problem list display. Now, all International Statistical Classification of Diseases and Related Health Problems, 9th Revision (known as ICD-9) codes and their descriptions mapped for a given SNOMED-CT Code will display. All problems added from the problem list will display SNOMED-CT text and code.-Identification of Mental Health Treatment Coordinator The scope of this project is to display information about a patients Primary Mental Health Care Provider (PMHP) in Patient Care Management Module (PCMM) and CPRS so that it will be easier for clinicians to coordinate care between their mental health and primary care providers. Rapid identification of all care providers would enable critical coordination of care for veterans with mental health conditions such as depression, suicidal ideation and Post Traumatic Stress Disorder (PTSD). Patient Safety Issues and Remedy tickets The CPRS development teams will review submitted patient safety issues and remedy tickets for inclusion of CPRS version 29. Patient safety issues and remedy tickets will only be included in CPRS version 29 scope if the resolution is in the modified code base associated with the above project initiatives.",18/10/2010,28/09/2012,29/03/2012,15/06/2012,6.486,-155,-58.27,0.4312,16.17,2.666,2.2348,21/06/2012,10:40:19,1101130615
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2290,1101140603,Clinical Flow Sheet - CLIO v2,"The project will include changes to meet the requirements proposed by the OIT National Release board for development of the three known anomalies from CP Flowsheet version 1 release, interfacing and data mapping fields from vendor device Nihon Kohden. Additional enhancements to the application including terminology mapping interoperability, ability for clinicians to re-transmit ADT feeds to 3rd party devices in outpatients settings without manual data entry, an Auto Refresh function and Graphical User Interface format and view updates.",10/01/2011,28/02/2012,07/12/2011,09/12/2011,1.73,-2,-6.06,0,0,0.9,0.9,19/01/2012,14:58:48,1101140603
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2291,1101180603,Nov 2011 Release DSS Extracts," The purpose of Decision Support System (DSS) Extracts is to provide support for yearly enhancements requested by the Decision Support Office (DSO). DSS package extracts managerial and workload data to be utilized by management, clinicians, and researchers to improve quality of care for the veterans.The DSS system is the main source of data for the BI-Dashboard and is critical to Corporate Systems. It is also the main source data for DSS Reports system as well as other data warehouses.",14/02/2011,23/11/2011,01/11/2011,01/11/2011,1.76,0,0,-0.20772,-13.85,1.5,1.70772,17/04/2012,11:53:19,1101180603
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2292,1102010603,Resident Assessment Instrument-Minimum Data Set 3_0 Implementation (RAI-MDS 3_0),"The Resident Assessment Instrument/Minimum Data Set (RAI/MDS) is a standardized assessment tool that supports the completion of a comprehensive, accurate, and reproducible resident assessment and serves as the basis for individualized resident care plans.",26/01/2011,29/06/2012,30/11/2011,30/11/2011,0.75,-275,-71.06,0,0,0.1875,0.1875,17/04/2012,11:53:19,1102010603
029-555555113,492,29,Department of Veterans Affairs,Medical Legacy,2293,1103310605,Credentialing and Privileging Enhancements,"VHAs electronic credentialing system is an application that maintains health care provider credentials. The CAPE program was initiated to provide effective and efficient information technology support. CAPE will: Enhance health care provider credentialing, enhance the privileging process and continuous monitoring of credentialing and privileging, increase the opportunity to deliver safe, quality care to veterans through linking provider credentials and facility resources for assignment of privileges, and integrate provider credentials and facility resources into electronic set of privileges.",26/07/2011,24/07/2013,16/03/2012,16/03/2012,82.314426,0,0,0,0,5.610721,5.610721,17/04/2012,11:53:19,1103310605
